epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,1267.51,1.93442,1.26161,1.56691,0.93736,0.90911,0.96753,0.82348,1.40189,0.82632,1.51233,0.00046848,0.00046848,0.00046848
161,1274.55,1.76356,1.18495,1.5657,0.9329,0.91723,0.96947,0.82265,1.39333,0.82452,1.51046,0.00046793,0.00046793,0.00046793
162,1281.23,1.72439,1.19086,1.55785,0.92372,0.91855,0.96956,0.7524,1.98726,0.95803,1.51644,0.000467379,0.000467379,0.000467379
163,1288.09,2.41753,1.42579,1.56859,0.92373,0.9104,0.96811,0.79034,1.71779,0.91649,1.51117,0.000466829,0.000466829,0.000466829
164,1295.91,1.95753,1.23399,1.57352,0.93256,0.89252,0.96616,0.74577,1.85546,0.94433,1.52216,0.000466278,0.000466278,0.000466278
165,1304.61,2.25908,1.39552,1.57154,0.93743,0.88884,0.96637,0.71202,2.14237,0.98589,1.52728,0.000465728,0.000465728,0.000465728
166,1312.4,2.27296,1.30684,1.58373,0.93208,0.91467,0.9696,0.80159,1.5876,0.86055,1.51186,0.000465177,0.000465177,0.000465177
167,1321.86,1.78407,1.18424,1.55929,0.92467,0.91551,0.96932,0.80955,1.4429,0.83331,1.51102,0.000464627,0.000464627,0.000464627
168,1330.18,1.72838,1.11575,1.56072,0.96309,0.87922,0.96786,0.77187,1.79069,0.91861,1.51502,0.000464077,0.000464077,0.000464077
169,1336.47,1.90879,1.20275,1.56255,0.95449,0.88592,0.96832,0.81587,1.44693,0.84302,1.50973,0.000463526,0.000463526,0.000463526
170,1345.87,1.79302,1.2067,1.56395,0.93855,0.89553,0.96744,0.79379,1.538,0.84055,1.51499,0.000462976,0.000462976,0.000462976
171,1353.83,1.85336,1.23544,1.56163,0.92074,0.91114,0.96676,0.79798,1.56577,0.8699,1.51249,0.000462425,0.000462425,0.000462425
172,1361.26,1.69,1.132,1.56078,0.93635,0.91455,0.97072,0.83903,1.3207,0.81398,1.50902,0.000461875,0.000461875,0.000461875
173,1365.86,1.94654,1.23121,1.57265,0.94273,0.89293,0.96848,0.8239,1.35332,0.838,1.51014,0.000461324,0.000461324,0.000461324
174,1373.93,1.83219,1.23787,1.56806,0.94928,0.90156,0.96918,0.7875,1.65378,0.88067,1.5128,0.000460774,0.000460774,0.000460774
175,1382.58,2.05067,1.33953,1.57491,0.94278,0.90578,0.96938,0.78623,1.63687,0.86086,1.51291,0.000460223,0.000460223,0.000460223
176,1388.35,1.74491,1.12531,1.56075,0.94584,0.90739,0.97136,0.83165,1.35435,0.77487,1.50767,0.000459673,0.000459673,0.000459673
177,1397.04,1.86797,1.23718,1.56541,0.93301,0.91625,0.97105,0.82867,1.39218,0.78623,1.50755,0.000459123,0.000459123,0.000459123
178,1405.43,1.6478,1.10845,1.56038,0.94439,0.89702,0.97192,0.8165,1.45645,0.792,1.51287,0.000458572,0.000458572,0.000458572
179,1410.66,1.65346,1.13044,1.56821,0.93849,0.91083,0.97219,0.7882,1.64584,0.82947,1.5157,0.000458022,0.000458022,0.000458022
180,1417.65,1.6514,1.09808,1.57031,0.94636,0.90063,0.97143,0.80521,1.52193,0.81627,1.51403,0.000457471,0.000457471,0.000457471
181,1424.01,1.61085,1.08347,1.55135,0.94092,0.91189,0.97037,0.81206,1.42557,0.79358,1.5157,0.000456921,0.000456921,0.000456921
182,1431.95,1.74606,1.12612,1.5702,0.93212,0.91304,0.96894,0.8179,1.45669,0.84763,1.51145,0.00045637,0.00045637,0.00045637
